"product_id","model","sku","upc","ean","jan","isbn","mpn","location","quantity","stock_status_id","image","manufacturer_id","shipping","price","points","tax_class_id","date_available","weight","weight_class_id","length","width","height","length_class_id","subtract","minimum","sort_order","status","viewed","date_added","date_modified"
"121","lieskový orech",,,,,,,,"1000","0","data/XYLADECOR/Oversol/OVERSOL - lieskový orech.jpg","11","1","11.9400","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","1","1768","2020-11-19 11:47:57","0000-00-00 00:00:00"
"122","meranti",,,,,,,,"1000","0","data/XYLADECOR/Oversol/OVERSOL - meranti.jpg","11","1","11.9400","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","1","1995","2020-11-19 11:47:57","0000-00-00 00:00:00"
"123","biely krycí",,,,,,,,"1000","0","data/XYLADECOR/Oversol/OVERSOL - biely krycí.jpg","11","1","11.9400","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","1","1906","2020-11-19 11:47:57","0000-00-00 00:00:00"
"133","smrekovec",,,,,,,,"0","0","data/farby-odtiene/Smrekovec.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"134","palisander",,,,,,,,"0","0","data/farby-odtiene/palisander.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"135","švédska červeň",,,,,,,,"0","0","data/farby-odtiene/svedska-cerven.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"136","svetlý dub",,,,,,,,"0","0","data/farby-odtiene/svetly-dub.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"137","orech",,,,,,,,"0","0","data/farby-odtiene/orech.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"138","mahagón",,,,,,,,"10","0","data/farby-odtiene/mahagon.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"139","borovica",,,,,,,,"0","0","data/farby-odtiene/Borovica.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"140","čerešňa",,,,,,,,"0","0","data/farby-odtiene/ceresňa.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"141","kukurica",,,,,,,,"0","0","data/farby-odtiene/kukurica.jpg","11","1","11.8900","0","9","2014-04-13","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"142","červený smrek",,,,,,,,"1000","0","data/XYLADECOR/Standard/STANDARD - smrekovec.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"143","gaštan",,,,,,,,"1000","0","data/farby-odtiene/gastan.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"144","palisander",,,,,,,,"1000","0","data/farby-odtiene/palisander.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"145","zeleň jedľová",,,,,,,,"1000","0","data/farby-odtiene/zeleň-jedľova.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"146","dub",,,,,,,,"1000","0","data/farby-odtiene/Dub.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:57","0000-00-00 00:00:00"
"147","orech",,,,,,,,"1000","0","data/XYLADECOR/Standard/STANDARD - orech.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"148","indický teak",,,,,,,,"1000","0","data/farby-odtiene/indicky-teak.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"149","céder",,,,,,,,"1000","0","data/farby-odtiene/Ceder.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"150","mahagón",,,,,,,,"1000","0","data/XYLADECOR/Standard/STANDARD - mahagón.jpg","11","1","6.2500","0","9","2014-04-13","0.00000000","2","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"151","mahagón",,,,,,,,"100000","0","data/farby-odtiene/mahagon.jpg","11","1","15.4200","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"152","týk",,,,,,,,"100000","0","data/farby-odtiene/Tyk.jpg","11","1","15.4200","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"153","pínia",,,,,,,,"100000","0","data/farby-odtiene/pinia.jpg","11","1","15.4200","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"154","vlašský orech",,,,,,,,"100000","0","data/farby-odtiene/Vlassky-orech.jpg","11","1","15.4200","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"155","palisander",,,,,,,,"100000","0","data/farby-odtiene/palisander.jpg","11","1","15.4200","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"156","dub",,,,,,,,"100000","0","data/farby-odtiene/Dub.jpg","11","1","15.4200","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","0","0","2020-11-19 11:47:58","0000-00-00 00:00:00"
"161","rukavica",,,,,,,,"100000","0","data/osetrenie-zahradneho-nabytku/aplikacna-rukavica.png","11","1","8.1000","0","9","2014-04-14","0.50000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","1","1697","2020-11-19 11:47:58","0000-00-00 00:00:00"
"165","wenge",,,,,,,,"1000","0","data/XYLADECOR/Ošetrujúci olej/LAK - wenge.jpg","11","1","10.3300","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","1","2101","2020-11-19 11:47:58","0000-00-00 00:00:00"
"166","mahagón ",,,,,,,,"1000","0","data/XYLADECOR/Ošetrujúci olej/LAK - mahagón.jpg","11","1","10.3300","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","1","1739","2020-11-19 11:47:58","0000-00-00 00:00:00"
"167","palisander",,,,,,,,"1000","0","data/XYLADECOR/Ošetrujúci olej/LAK - palisander.jpg","11","1","10.3300","0","9","2014-04-14","0.00000000","1","0.00000000","0.00000000","0.00000000","1","0","1","1","1","1707","2020-11-19 11:47:58","0000-00-00 00:00:00"
